user_id,item_id,timestamp
0,0,1700000000
0,0,1700000003
0,2,1700000004
0,2,1700000007
0,6,1700000001
0,8,1700000005
0,12,1700000002
0,14,1700000006
1,0,1700000103
1,0,1700000106
1,2,1700000107
1,4,1700000100
1,6,1700000104
1,10,1700000101
1,12,1700000105
1,16,1700000102
2,0,1700000206
2,4,1700000203
2,6,1700000207
2,8,1700000200
2,10,1700000204
2,14,1700000201
2,16,1700000202
2,16,1700000205
3,2,1700000302
3,4,1700000306
3,8,1700000303
3,10,1700000307
3,12,1700000300
3,14,1700000301
3,14,1700000304
3,16,1700000305
4,0,1700000401
4,2,1700000405
4,6,1700000402
4,8,1700000406
4,12,1700000400
4,12,1700000403
4,14,1700000404
4,14,1700000407
5,0,1700000504
5,4,1700000501
5,6,1700000505
5,10,1700000502
5,12,1700000503
5,12,1700000506
5,14,1700000507
5,16,1700000500
6,0,1700000607
6,2,1700000600
6,4,1700000604
6,8,1700000601
6,10,1700000602
6,10,1700000605
6,12,1700000606
6,16,1700000603
7,2,1700000703
7,4,1700000707
7,6,1700000700
7,8,1700000701
7,8,1700000704
7,10,1700000705
7,14,1700000702
7,16,1700000706
8,0,1700000802
8,2,1700000806
8,6,1700000800
8,6,1700000803
8,8,1700000804
8,8,1700000807
8,12,1700000801
8,14,1700000805
9,0,1700000905
9,4,1700000902
9,6,1700000903
9,6,1700000906
9,8,1700000907
9,10,1700000900
9,12,1700000904
9,16,1700000901
10,2,1700001001
10,4,1700001002
10,4,1700001005
10,6,1700001006
10,10,1700001003
10,12,1700001007
10,14,1700001000
10,16,1700001004
11,0,1700001100
11,2,1700001101
11,2,1700001104
11,4,1700001105
11,8,1700001102
11,10,1700001106
11,14,1700001103
11,16,1700001107
12,0,1700001200
12,0,1700001203
12,2,1700001204
12,2,1700001207
12,6,1700001201
12,8,1700001205
12,12,1700001202
12,14,1700001206
13,0,1700001303
13,0,1700001306
13,2,1700001307
13,4,1700001300
13,6,1700001304
13,10,1700001301
13,12,1700001305
13,16,1700001302
14,0,1700001406
14,4,1700001403
14,6,1700001407
14,8,1700001400
14,10,1700001404
14,14,1700001401
14,16,1700001402
14,16,1700001405
15,2,1700001502
15,4,1700001506
15,8,1700001503
15,10,1700001507
15,12,1700001500
15,14,1700001501
15,14,1700001504
15,16,1700001505
16,0,1700001601
16,2,1700001605
16,6,1700001602
16,8,1700001606
16,12,1700001600
16,12,1700001603
16,14,1700001604
16,14,1700001607
17,0,1700001704
17,4,1700001701
17,6,1700001705
17,10,1700001702
17,12,1700001703
17,12,1700001706
17,14,1700001707
17,16,1700001700
18,0,1700001807
18,2,1700001800
18,4,1700001804
18,8,1700001801
18,10,1700001802
18,10,1700001805
18,12,1700001806
18,16,1700001803
19,2,1700001903
19,4,1700001907
19,6,1700001900
19,8,1700001901
19,8,1700001904
19,10,1700001905
19,14,1700001902
19,16,1700001906
20,0,1700002002
20,2,1700002006
20,6,1700002000
20,6,1700002003
20,8,1700002004
20,8,1700002007
20,12,1700002001
20,14,1700002005
21,0,1700002105
21,4,1700002102
21,6,1700002103
21,6,1700002106
21,8,1700002107
21,10,1700002100
21,12,1700002104
21,16,1700002101
22,2,1700002201
22,4,1700002202
22,4,1700002205
22,6,1700002206
22,10,1700002203
22,12,1700002207
22,14,1700002200
22,16,1700002204
23,0,1700002300
23,2,1700002301
23,2,1700002304
23,4,1700002305
23,8,1700002302
23,10,1700002306
23,14,1700002303
23,16,1700002307
